,Strengths,uEPSPs
369,0.6096982503503614,1.5540420715854708
370,0.121702764437573,0.3650681264713853
371,0.11221997666114869,0.3378883236624546
372,0.23896949580589474,0.6861663836821492
373,0.06455936988975801,0.1982999836022401
374,0.3644312065444194,1.0022551068977208
375,0.09101294127476978,0.27640030533390814
376,0.300412009935338,0.8442290314867051
377,0.2306818962544916,0.6643369431086228
378,0.08341317771981198,0.2541244055866798
379,0.3326480805145908,0.9246158054188669
380,0.06439203539443707,0.19780089336360618
381,0.09623600299002506,0.2916354974489508
382,0.3216558958013901,0.8973942666373631
383,0.13198692397320247,0.3943291326083056
384,0.13352488402536455,0.398685910172631
385,0.031453816769279316,0.0982860192697359
386,0.20813903930575745,0.6043213621298946
387,0.20341374225358017,0.5916211204113324
388,0.07841671924716212,0.23940874437566606
389,0.1068900577051072,0.3225268222633133
390,0.20038266216722267,0.5834521736049965
391,0.10611724689317335,0.32029438391768394
392,0.08900565985730025,0.2705291941858263
393,0.24010238279668106,0.6891407260689846
394,0.054499863359418116,0.16818163935815278
395,0.03353099221778028,0.10463768071610957
396,0.1470802893002812,0.43687359126721503
397,0.25890388581344403,0.7381679326565234
398,0.09493320189193705,0.2878409804446278
399,0.057925802420200526,0.17846529109114329
400,0.16484295060357645,0.4863458107393086
401,0.21439661080545416,0.6210752185295263
402,0.08205795311528934,0.25013851532055753
403,0.12243046598581196,0.36714596368585717
404,0.2135895373799089,0.6189185036003693
405,0.8069702517928434,1.9479565604714537
406,0.1047430489746103,0.31632150186081276
407,0.10448861409594448,0.31558546644387775
408,0.09474614157719793,0.2872958447378977
409,0.05522200985057653,0.17035158166109454
410,0.16320367720354406,0.4818067817263767
411,0.075173451645566,0.2298265031030553
412,0.0767430354883273,0.23446681114221235
413,0.12352717096301119,0.37027531076384435
414,0.05191956988144702,0.1604182923850459
415,0.1310954026561001,0.3918013394920763
416,0.06340623917449566,0.1948593592678236
417,0.1702829015590667,0.5013702128149902
418,0.25841286013675924,0.7368954962039851
419,0.435022097771185,1.1692758549221054
420,0.09053840754840252,0.2750131451483355
421,0.3377656336776006,0.937223313632984
422,0.09871661145010645,0.2988501602688558
423,0.12306799905143787,0.3689654159945235
424,0.12352026941031759,0.3702556257837557
425,0.3058590646646853,0.8579315853314853
426,0.10994018021226461,0.3313251672772566
427,0.14852648307687039,0.4409253856514397
428,0.0557153017699019,0.17183315128342258
429,0.03364007680275779,0.1049709566881063
430,0.08280905869568916,0.2523481222242765
431,0.08777002245253913,0.2669106195492503
432,0.037134990584569934,0.11563353577032842
433,0.07953141268475575,0.24269662529485458
434,0.3043226630667514,0.8540716029489204
435,0.09269910184035175,0.28132526713999084
436,0.16531171405737186,0.48764279442912084
437,0.2696713986808846,0.765964620567658
438,0.09130550817168431,0.2772552901919596
439,0.17581249745723657,0.5165820249194297
440,0.0736468217440129,0.22530782951402273
441,0.31089916577830135,0.8705667863501674
442,0.11940012760851224,0.35848589731996583
443,0.11354845805163125,0.3417076434616888
444,0.29064112922959345,0.8195256758029217
445,0.03972557446944727,0.12351825750025114
446,0.15274400040475514,0.4527173985579651
447,0.020147776721986404,0.06353088935799178
448,0.1309121873536554,0.39128165001540083
449,0.05975518737508534,0.18394540185956032
450,0.09983496406099406,0.302098390355539
451,0.13921796737603698,0.4147705363123606
452,0.062411418222206104,0.19188862685943775
453,0.10653626765705261,0.32150498063099064
454,0.028911410716605614,0.09049760441101284
455,0.059287439721087874,0.18254495375521174
456,0.04216647790431194,0.13093278411332676
457,0.14909934455953325,0.44252918556756526
458,0.15510904335973966,0.45931415742836634
459,0.030999241127505857,0.09689461596487092
460,0.05696067083714584,0.17557101378338302
461,0.09102181025390209,0.2764262264425099
462,0.05038972028341176,0.1558080638877044
463,0.3329634333542804,0.9253939059888268
464,0.14174790823434788,0.4218967750797873
465,0.03905291235340314,0.12147247645005166
466,0.03550459809238651,0.11066303844675929
467,0.08647838171399655,0.26312440555118144
468,0.30991368920811657,0.8680995455876399
469,0.18904458230592966,0.5527396546264782
470,0.16423364652421396,0.48465931992824096
471,0.09095594624938362,0.2762337234637471
472,0.036251751285328364,0.1129416372983485
473,0.039389023043647435,0.12249483153918561
474,0.13334506079573022,0.398176756968013
475,0.06846711094084415,0.2099368959624428
476,0.027512664997683806,0.08620601961044372
477,0.1345759096419676,0.40166044381309973
478,0.03321311073252857,0.10366632395181341
479,0.09187070288032377,0.2789064539613264
480,0.11434863303149567,0.34400627876939893
481,0.4040106284135929,1.0967918651044215
482,0.09259648494760792,0.28102572201548526
483,0.14676144830065696,0.43597971949533587
484,0.15173234685597253,0.4498921472111448
485,0.25975663595210086,0.7403767291687728
486,0.08385212176207298,0.25541451436532725
487,0.07562483078247156,0.23116152882835195
488,0.1321344398443013,0.3947472342896816
489,0.12550870610095485,0.37592298394822876
490,0.2654799722131099,0.7551683588285272
491,0.1116244864529571,0.3361750862138848
492,0.22237188082774054,0.6423224989133587
493,0.040857846076335635,0.12695942508115365
494,0.05842810438384101,0.17997076110114563
495,0.15257732872324914,0.4522520767033029
496,0.10349937594658153,0.3127224361520291
497,0.11718397456114188,0.3521402237071811
498,0.06419392990646813,0.1972099425983913
499,0.14268649611900305,0.4245371894189134
500,0.052793530691906974,0.16304952777059611
501,0.04571594858399767,0.1416894956472987
502,0.10845666879522968,0.3270483618815092
503,0.33044596759871375,0.9191779003494673
504,0.14243212525280663,0.4238217785629672
505,0.0698328366710635,0.2139956626146784
506,0.0713153754620074,0.21839676396686514
507,0.14296532006100862,0.4253212205766346
508,0.08082745321462104,0.24651588713261674
509,0.025953438859841662,0.08141646533654523
510,0.05825518141341478,0.17945255258771908
511,0.12366081038601476,0.37065646443481626
512,0.16799584274814344,0.4950608479385039
513,0.09205073100188618,0.27943224088726026
514,0.275138422002738,0.7800008337158317
515,0.12415819510361162,0.37207472569431843
516,0.06288478135602546,0.19330246742163126
517,0.11354968024964605,0.34171115547607656
518,0.24501405367704304,0.7020093669532059
519,0.031002841195175903,0.09690563731143698
520,0.028326333446277708,0.0887030661342294
521,0.05329470714509041,0.16455761445344308
522,0.23374503074749162,0.6724197435579953
523,0.2275367441207844,0.6560198875400687
524,0.06469292284270733,0.19869827113529936
525,0.2760555676478289,0.7823504966088706
526,0.105455641234469,0.31838215733147024
527,0.09511416661678765,0.28836827885302796
